date,gspc,oil
2016-01-30,1940.23999,33.14
2016-01-31,1940.23999,33.14
2016-02-01,1939.380005,32.45
2016-02-02,1903.030029,30.98
2016-02-03,1912.530029,32.38
2016-02-04,1915.449951,32.76
2016-02-05,1880.050049,32.35
2016-02-06,1880.050049,32.35
2016-02-07,1880.050049,32.35
2016-02-08,1853.439941,31.64
2016-02-09,1852.209961,30.15
2016-02-10,1851.859985,29.64
2016-02-11,1829.079956,28.82
2016-02-12,1864.780029,31.8
2016-02-13,1864.780029,31.8
2016-02-14,1864.780029,31.8
2016-02-15,1864.780029,31.8
2016-02-16,1895.579956,31.09
2016-02-17,1926.819946,33.21
2016-02-18,1917.829956,33.2
2016-02-19,1917.780029,31.66
2016-02-20,1917.780029,31.66
2016-02-21,1917.780029,31.66
2016-02-22,1945.5,33.59
2016-02-23,1921.27002,31.9
2016-02-24,1929.800049,31.5
2016-02-25,1951.699951,32.83
2016-02-26,1948.050049,35.76
2016-02-27,1948.050049,35.76
2016-02-28,1948.050049,35.76
2016-02-29,1932.22998,35.92
2016-03-01,1978.349976,35.73
2016-03-02,1986.449951,36.38
2016-03-03,1993.400024,35.75
2016-03-04,1999.98999,37.61
2016-03-05,1999.98999,37.61
2016-03-06,1999.98999,37.61
2016-03-07,2001.76001,39.02
2016-03-08,1979.26001,39.16
2016-03-09,1989.26001,40.26
2016-03-10,1989.569946,38.63
2016-03-11,2022.189941,39.41
2016-03-12,2022.189941,39.41
2016-03-13,2022.189941,39.41
2016-03-14,2019.640015,38.06
2016-03-15,2015.930054,37.49
2016-03-16,2027.219971,38.38
2016-03-17,2040.589966,39.29
2016-03-18,2049.580078,39.26
2016-03-19,2049.580078,39.26
2016-03-20,2049.580078,39.26
2016-03-21,2051.600098,39.91
2016-03-22,2049.800049,40.54
2016-03-23,2036.709961,38.84
2016-03-24,2035.939941,38.33
2016-03-25,2035.939941,38.33
2016-03-26,2035.939941,38.33
2016-03-27,2035.939941,38.33
2016-03-28,2037.050049,38.33
2016-03-29,2055.01001,36.75
2016-03-30,2063.949951,36.75
2016-03-31,2059.73999,36.75
2016-04-01,2072.780029,36.42
2016-04-02,2072.780029,36.42
2016-04-03,2072.780029,36.42
2016-04-04,2066.129883,36.05
2016-04-05,2045.170044,35.88
2016-04-06,2066.659912,37.77
2016-04-07,2041.910034,37.15
2016-04-08,2047.599976,40.71
2016-04-09,2047.599976,40.71
2016-04-10,2047.599976,40.71
2016-04-11,2041.98999,41.58
2016-04-12,2061.719971,43.02
2016-04-13,2082.419922,42.81
2016-04-14,2082.780029,43.02
2016-04-15,2080.72998,41.32
2016-04-16,2080.72998,41.32
2016-04-17,2080.72998,41.32
2016-04-18,2094.340088,41.64
2016-04-19,2100.800049,43.02
2016-04-20,2102.399902,43.09
2016-04-21,2091.47998,43.48
2016-04-22,2091.580078,43.97
2016-04-23,2091.580078,43.97
2016-04-24,2091.580078,43.97
2016-04-25,2087.790039,42.97
2016-04-26,2091.699951,43.94
2016-04-27,2095.149902,44.17
2016-04-28,2075.810059,45.6
2016-04-29,2065.300049,45.64
2016-04-30,2065.300049,45.64
2016-05-01,2065.300049,45.64
2016-05-02,2081.429932,45.82
2016-05-03,2063.370117,43.09
2016-05-04,2051.120117,43.08
2016-05-05,2050.629883,44.39
2016-05-06,2057.139893,44.6
2016-05-07,2057.139893,44.6
2016-05-08,2057.139893,44.6
2016-05-09,2058.689941,42.43
2016-05-10,2084.389893,44.01
2016-05-11,2064.459961,46.08
2016-05-12,2064.110107,46.43
2016-05-13,2046.609985,47.05
2016-05-14,2046.609985,47.05
2016-05-15,2046.609985,47.05
2016-05-16,2066.659912,48.49
2016-05-17,2047.209961,48.71
2016-05-18,2047.630005,48.93
2016-05-19,2040.040039,47.01
2016-05-20,2052.320068,48.54
2016-05-21,2052.320068,48.54
2016-05-22,2052.320068,48.54
2016-05-23,2048.040039,47.77
2016-05-24,2076.060059,48.42
2016-05-25,2090.540039,48.87
2016-05-26,2090.100098,49.52
2016-05-27,2099.060059,49.09
2016-05-28,2099.060059,49.09
2016-05-29,2099.060059,49.09
2016-05-30,2099.060059,49.09
2016-05-31,2096.949951,49.26
2016-06-01,2099.330078,48.81
2016-06-02,2105.26001,49.05
2016-06-03,2099.129883,48.5
2016-06-04,2099.129883,48.5
2016-06-05,2099.129883,48.5
2016-06-06,2109.409912,48.94
2016-06-07,2112.129883,49.76
2016-06-08,2119.120117,50.73
2016-06-09,2115.47998,50.59
2016-06-10,2096.070068,49.7
2016-06-11,2096.070068,49.7
2016-06-12,2096.070068,49.7
2016-06-13,2079.060059,49.36
2016-06-14,2075.320068,47.88
2016-06-15,2071.5,47.47
2016-06-16,2077.98999,45.66
2016-06-17,2071.219971,46.57
2016-06-18,2071.219971,46.57
2016-06-19,2071.219971,46.57
2016-06-20,2083.25,48.68
2016-06-21,2088.899902,48.18
2016-06-22,2085.449951,48.43
2016-06-23,2113.320068,48.63
2016-06-24,2037.410034,46.69
2016-06-25,2037.410034,46.69
2016-06-26,2037.410034,46.69
2016-06-27,2000.540039,45.07
2016-06-28,2036.089966,46.29
2016-06-29,2070.77002,48.4
2016-06-30,2098.860107,48.05
2016-07-01,2102.949951,47.65
2016-07-02,2102.949951,47.65
2016-07-03,2102.949951,47.65
2016-07-04,2102.949951,48.02
2016-07-05,2088.550049,45.64
2016-07-06,2099.72998,45.7
2016-07-07,2097.899902,45.93
2016-07-08,2129.899902,44.53
2016-07-09,2129.899902,44.53
2016-07-10,2129.899902,44.53
2016-07-11,2137.159912,44.04
2016-07-12,2152.139893,46.72
2016-07-13,2152.429932,44.67
2016-07-14,2163.75,46.01
2016-07-15,2161.73999,46.25
2016-07-16,2161.73999,46.25
2016-07-17,2161.73999,46.25
2016-07-18,2166.889893,45.35
2016-07-19,2163.780029,45.7
2016-07-20,2173.02002,45.82
2016-07-21,2165.169922,44.99
2016-07-22,2175.030029,44.24
2016-07-23,2175.030029,44.24
2016-07-24,2175.030029,44.24
2016-07-25,2168.47998,43.76
2016-07-26,2169.179932,43.56
2016-07-27,2166.580078,42.78
2016-07-28,2170.060059,41.87
2016-07-29,2173.600098,40.76
2016-07-30,2173.600098,40.76
2016-07-31,2173.600098,40.76
2016-08-01,2170.840088,40.17
2016-08-02,2157.030029,40
2016-08-03,2163.790039,40.45
2016-08-04,2164.25,41.33
2016-08-05,2182.870117,42.47
2016-08-06,2182.870117,42.47
2016-08-07,2182.870117,42.47
2016-08-08,2180.889893,43.24
2016-08-09,2181.73999,43.37
2016-08-10,2175.48999,42.19
2016-08-11,2185.790039,44.23
2016-08-12,2184.050049,45.12
2016-08-13,2184.050049,45.12
2016-08-14,2184.050049,45.12
2016-08-15,2190.149902,47.31
2016-08-16,2178.149902,48.27
2016-08-17,2182.219971,48.58
2016-08-18,2187.02002,49.46
2016-08-19,2183.870117,49.39
2016-08-20,2183.870117,49.39
2016-08-21,2183.870117,49.39
2016-08-22,2182.639893,48.1
2016-08-23,2186.899902,48.7
2016-08-24,2175.439941,47.56
2016-08-25,2172.469971,49.25
2016-08-26,2169.040039,49.66
2016-08-27,2169.040039,49.66
2016-08-28,2169.040039,49.66
2016-08-29,2180.379883,49.66
2016-08-30,2176.120117,47.94
2016-08-31,2170.949951,47.94
2016-09-01,2170.860107,45.05
2016-09-02,2179.97998,45.96
2016-09-03,2179.97998,45.96
2016-09-04,2179.97998,45.96
2016-09-05,2179.97998,46.72
2016-09-06,2186.47998,46.21
2016-09-07,2186.159912,47
2016-09-08,2181.300049,49.23
2016-09-09,2127.810059,48.37
2016-09-10,2127.810059,48.37
2016-09-11,2127.810059,48.37
2016-09-12,2159.040039,47.82
2016-09-13,2127.02002,46.48
2016-09-14,2125.77002,45.65
2016-09-15,2147.26001,45.83
2016-09-16,2139.159912,45.26
2016-09-17,2139.159912,45.26
2016-09-18,2139.159912,45.26
2016-09-19,2139.120117,46.04
2016-09-20,2139.76001,45.24
2016-09-21,2163.120117,45.99
2016-09-22,2177.179932,47.21
2016-09-23,2164.689941,46.71
2016-09-24,2164.689941,46.71
2016-09-25,2164.689941,46.71
2016-09-26,2146.100098,46.61
2016-09-27,2159.929932,44.95
2016-09-28,2171.370117,45.49
2016-09-29,2151.129883,48.43
2016-09-30,2168.27002,48.24
2016-10-01,2168.27002,48.24
2016-10-02,2168.27002,48.24
2016-10-03,2161.199951,48.61
2016-10-04,2150.48999,48.81
2016-10-05,2159.72998,49.57
2016-10-06,2160.77002,50.14
2016-10-07,2153.73999,50.49
2016-10-08,2153.73999,50.49
2016-10-09,2153.73999,50.49
2016-10-10,2163.659912,51.54
2016-10-11,2136.72998,50.48
2016-10-12,2139.179932,49.53
2016-10-13,2132.550049,49.29
2016-10-14,2132.97998,48.87
2016-10-15,2132.97998,48.87
2016-10-16,2132.97998,48.87
2016-10-17,2126.5,49.31
2016-10-18,2139.600098,49.81
2016-10-19,2144.290039,51.85
2016-10-20,2141.340088,50.42
2016-10-21,2141.159912,50.28
2016-10-22,2141.159912,50.28
2016-10-23,2141.159912,50.28
2016-10-24,2151.330078,49.8
2016-10-25,2143.159912,49.08
2016-10-26,2139.429932,48.98
2016-10-27,2133.040039,49.13
2016-10-28,2126.409912,47.78
2016-10-29,2126.409912,47.78
2016-10-30,2126.409912,47.78
2016-10-31,2126.149902,46.2
